Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
IRELAND,4091,119471,40,74.24,0.9905863358592032,1425,692,0.0,0.30328370778603636,0.78,34.83,12,0.0,0.3302794740309536,29.203373258372036,10.54,2.25,30,0.35013214471558074,44.1386196528966,0.0,Country/Region,383,92,0.33221762683532924,0,1.0890115939362046,359,n/a,178,0.0,71,8.78,n/a,3283,188,1568,267,1830,786,3399,623,16.92,306,0.29,47.76,0.73,23.94,9.36,18.98,4.35,9.32,1.74,4.6,32,431,6.53,0,83.08
NORTHERN IRELAND,2463,82644,41,74.42,1.231616808769793,566,318,0.0,0.18259295337986006,1.71,22.98,6,0.0,0.2284706485407683,33.55420219244824,9.91,1.66,7,0.2107982088571194,43.839629070239546,0.0,Country/Region,217,41,0.22981136470088095,0,1.2512566575637005,463,n/a,64,0.0,10,18.8,n/a,2026,116,1010,88,1122,554,2145,277,12.91,185,0.24,49.85,0.28,27.34,8.81,13.67,2.6,9.13,0.41,4.71,42,244,3.57,0,87.09
CHILE,2586,79106,42,78.23,0.8884449729311679,1067,377,0.0,0.1917114808933488,0.97,41.26,69,0.0,0.2186897914363537,30.590100541376643,8.12,1.01,13,0.2213252814066223,41.85433982985306,0.0,Country/Region,159,26,0.21997311136958386,0,1.140723499799228,293,n/a,161,0.0,3,11.33,n/a,2163,75,907,136,533,460,2209,356,14.58,440,2.67,41.93,0.5,21.27,6.15,16.46,6.23,20.34,0.12,2.9,25,210,5.26,0,85.42
EGYPT,2925,57392,43,81.13,0.6732565811965813,817,178,0.0,0.21684303233296415,0.38,27.93,51,0.0,0.15866109410304163,19.621196581196582,6.09,0.51,8,0.2503389203845206,41.7823798974359,0.0,Country/Region,84,15,0.15959215239960506,0,0.7316863834454054,332,n/a,55,0.0,1,11.35,n/a,2352,23,590,35,841,619,2747,677,6.09,466,1.74,25.09,0.27,26.32,2.87,28.78,1.88,19.81,0.03,0.79,11,178,1.2,0,93.91
UKRAINE,5243,51946,44,65.74,0.37144819759679576,1687,408,0.0,0.38868650205871147,0.29,32.18,50,0.0,0.1436055407422045,9.907686439061607,2.71,0.76,10,0.4487271656670227,27.451247510967008,0.0,Country/Region,98,40,0.1444482497307967,0,0.36946366797299474,322,n/a,234,0.0,10,6.14,n/a,3918,62,874,250,455,606,4835,1032,7.78,1406,0.95,22.31,0.19,15.47,1.87,26.34,4.46,35.89,0.19,1.18,15,142,4.77,0,92.22
THAILAND,1707,49117,45,81.43,0.870281546572935,750,203,0.0,0.126547369638417,1.05,43.94,16,0.0,0.13578472538087358,28.77387229056825,8.79,1.93,7,0.1460952263577356,46.06332899824253,0.0,Country/Region,131,33,0.1365815400998641,0,1.0729952409824906,152,n/a,12,0.0,9,8.9,n/a,1342,60,532,49,597,390,1504,273,11.89,147,0.94,39.64,0.41,29.06,7.67,20.34,0.7,10.95,0.53,3.51,18,150,2.87,0,88.11
BULGARIA,1858,40456,46,82.08,0.6591816469321852,810,217,0.0,0.13774165951269995,0.43,43.6,9,0.0,0.11184125353764728,21.77395048439182,6.08,1.51,10,0.15901870566647497,39.616260818083965,0.0,Country/Region,104,28,0.11249756268257635,0,0.8119638890174353,178,n/a,104,0.0,2,9.58,n/a,1518,45,475,94,354,394,1641,416,11.68,233,0.48,31.29,0.54,25.96,5.6,27.4,5.6,15.35,0.11,2.42,8,113,5.06,0,88.32
ROMANIA,2781,40069,47,68.36,0.5618909744696152,968,257,0.0,0.20616768304887978,0.5,34.81,20,0.0,0.11077138590073138,14.408126573175117,5.39,0.61,13,0.23801454276559034,34.571145954692554,0.0,Country/Region,80,17,0.11142141682638303,0,0.5372878244669844,312,n/a,155,0.0,3,11.22,n/a,1973,53,607,144,276,454,2524,324,9.24,588,0.72,30.77,0.47,23.01,2.88,16.42,5.57,29.8,0.11,1.91,14,150,5.18,0,90.76
SLOVENIA,2033,39976,48,78.9,0.631954156419085,614,211,0.0,0.15071517426766362,0.25,30.2,6,0.0,0.11051428592596864,19.66355140186916,7.03,0.69,6,0.17399624791170268,39.73975356615839,0.0,Country/Region,88,14,0.11116280813225905,0,0.7332658205317805,282,n/a,92,0.0,13,13.87,n/a,1563,40,470,111,687,462,1822,352,10.38,279,0.3,30.07,0.3,29.56,4.33,22.52,4.53,17.85,0.64,1.97,5,143,5.46,0,89.62
SLOVAKIA,2317,37340,49,80.32,0.5130022011221407,917,236,0.0,0.17176933535571895,0.3,39.58,27,0.0,0.10322702212516684,16.115666810530858,3.97,1.25,16,0.1983026593268151,36.02433478636168,0.0,Country/Region,90,29,0.10383278106009988,0,0.6009630409956054,222,n/a,114,0.0,7,9.58,n/a,1909,31,468,103,472,374,2081,506,10.19,561,1.17,24.52,0.69,19.59,3.88,26.51,4.92,29.39,0.3,1.34,7,92,4.45,0,89.81
IRAN,1745,31716,50,79.43,0.6504059598853869,374,155,0.0,0.12936447569949486,0.23,21.43,5,0.0,0.08767938494166554,18.175358166189113,5.79,0.69,9,0.1493474926738422,42.46439014326648,0.0,Country/Region,59,12,0.08819390691221553,0,0.6777701874302724,264,n/a,70,0.0,2,15.13,n/a,1294,25,343,82,186,345,1590,354,8.88,252,0.29,26.51,0.52,26.66,3.38,27.36,4.01,19.47,0.11,1.43,4,101,4.7,0,91.12
SAUDI ARABIA,1830,31420,51,77.05,0.5517686885245902,422,118,0.0,0.13566589715190577,0.27,23.06,11,0.0,0.08686108824779705,17.169398907103826,4.7,0.71,4,0.1566222989072385,36.33691010928962,0.0,Country/Region,75,13,0.08737080827285319,0,0.6402573533313112,85,n/a,25,0.0,0,4.64,n/a,1632,33,379,28,310,341,1712,362,6.45,550,0.6,23.22,0.22,20.89,4.1,22.18,1.37,33.7,0.0,1.8,5,86,1.53,0,93.55
MALAYSIA,1335,29735,52,74.53,0.7809904119850187,425,122,0.0,0.09896938398786569,1.05,31.84,14,0.0,0.08220287902763351,22.273408239700373,7.94,0.82,6,0.1142572508421658,41.35420666666667,0.0,Country/Region,49,11,0.08268526365351017,0,0.8305889732294599,101,n/a,20,0.0,43,7.57,n/a,896,19,246,53,248,263,1213,210,9.14,177,1.05,27.46,0.45,29.35,3.67,23.44,1.5,19.75,3.22,1.42,14,106,3.97,0,90.86
KENYA,607,26018,53,86.49,0.9816632619439868,368,111,0.0,0.04499956260721683,1.15,60.63,7,0.0,0.07192717358469712,42.86326194398682,14.17,1.32,3,0.05195067510201846,48.66180115321252,0.0,Country/Region,63,8,0.0723492581044906,0,1.598397171379656,23,n/a,17,0.0,9,3.79,n/a,544,35,232,38,79,101,496,82,18.29,129,1.15,42.65,0.49,18.57,10.38,15.07,2.8,23.71,1.48,5.77,7,86,6.26,0,81.71
CROATIA,1777,25040,54,72.54,0.5273905458638154,417,145,0.0,0.1317367755404025,0.39,23.47,10,0.0,0.06922347707590192,14.09116488463703,4.84,1.46,7,0.1520862432558267,34.714432976927405,0.0,Country/Region,64,26,0.0696296957082191,0,0.5254681298516503,268,n/a,58,0.0,9,15.08,n/a,1305,20,304,64,189,258,1632,359,8.16,384,0.56,23.3,0.39,19.77,3.6,27.51,3.26,29.43,0.51,1.13,7,86,3.6,0,91.84
VENEZUELA,1333,22658,55,74.94,0.6021229557389347,474,135,0.0,0.09882111524780895,0.38,35.56,19,0.0,0.0626384003029467,16.99774943735934,5.7,2.78,6,0.11408607893079177,35.80115738934734,0.0,Country/Region,64,37,0.0630059762522695,0,0.6338564399508283,140,n/a,48,0.0,0,10.5,n/a,1151,24,433,46,136,243,1198,237,10.13,238,1.43,37.62,0.45,21.11,4.8,20.59,3.6,20.68,0.0,1.8,5,76,3.45,0,89.87
COLOMBIA,819,21177,56,80.83,0.7561608058608059,469,151,0.0,0.06071604905322996,0.24,57.26,19,0.0,0.0585441523177466,25.857142857142858,7.2,2.08,5,0.07009489770766576,42.82289719169719,0.0,Country/Region,50,17,0.05888770231681134,0,0.9642286220966181,55,n/a,73,0.0,3,6.72,n/a,737,55,307,77,92,168,668,160,18.44,102,2.32,41.66,0.61,22.8,6.11,21.71,8.91,13.84,0.37,6.72,2,59,9.4,0,81.56
PHILIPPINES,537,20692,57,80.63,0.9800024208566108,320,69,0.0,0.039810156705231366,1.3,59.59,3,0.0,0.05720336212677964,38.53258845437617,11.55,2.42,8,0.04595965820392737,47.158945996275605,0.0,Country/Region,43,13,0.05753904407326156,0,1.436903716564941,9,n/a,10,0.0,1,1.68,n/a,449,10,181,15,109,130,468,91,12.85,47,0.56,40.31,1.49,28.95,8.01,20.27,1.86,10.47,0.19,1.86,7,62,2.79,0,87.15
ICELAND,410,20407,58,83.41,1.4588112195121952,225,83,0.0,0.030395091711629164,2.44,54.88,4,0.0,0.05641547510734546,49.77317073170732,13.66,2.2,2,0.03509024183167639,53.061283414634154,0.0,Country/Region,57,9,0.056746533559010666,0,1.8560718830060612,27,n/a,24,0.0,3,6.59,n/a,354,16,163,20,115,114,327,50,20.24,27,0.98,46.05,0.49,32.2,13.9,14.12,5.85,7.63,0.73,3.9,10,56,4.88,0,79.76
YUGOSLAVIA,1462,20204,59,69.97,0.4749435704514364,353,169,0.0,0.10838444898146789,0.34,24.15,76,0.0,0.055854278388239705,13.819425444596444,3.76,0.41,3,0.1251266672144168,33.21689972640219,0.0,Country/Region,59,6,0.05618204361377231,0,0.5153348004545371,147,n/a,36,0.0,0,10.05,n/a,1080,53,296,31,214,262,1293,208,11.56,314,5.2,27.41,0.21,24.26,4.04,19.26,2.46,29.07,0.0,3.63,5,55,2.12,0,88.44
MOROCCO,1208,19937,60,82.2,0.5565943708609271,635,130,0.0,0.08955431899426348,0.5,52.57,21,0.0,0.05511615265424347,16.504139072847682,5.63,0.58,11,0.10338783446991481,37.7727255794702,0.0,Country/Region,52,7,0.05543958639515831,0,0.615449408506741,91,n/a,54,0.0,0,7.53,n/a,1007,13,254,46,112,220,1078,250,10.76,283,1.74,25.22,0.91,21.85,4.3,24.83,4.47,28.1,0.0,1.08,6,68,3.81,0,89.24
ESTONIA,836,19327,61,74.4,0.6572327751196172,315,86,0.0,0.06197633334371214,0.36,37.68,2,0.0,0.05342979798106854,23.11842105263158,7.18,1.56,2,0.07154985895434503,41.46203767942584,0.0,Country/Region,59,13,0.053743335820796746,0,0.8621000162231975,44,n/a,19,0.0,0,5.26,n/a,571,20,218,23,574,189,750,93,10.29,71,0.24,38.18,0.24,33.1,7.06,16.29,2.27,12.43,0.0,2.39,3,60,2.75,0,89.71
INDONESIA,604,18743,62,83.28,0.8407728476821192,423,91,0.0,0.04477715949713174,0.66,70.03,12,0.0,0.051815320720192876,31.031456953642383,10.1,1.49,2,0.05169391723495741,46.5946059602649,0.0,Country/Region,56,9,0.05211938445124403,0,1.1571819495051259,14,n/a,11,0.0,6,2.32,n/a,473,16,168,21,333,157,513,92,15.07,56,1.99,35.52,0.33,33.19,9.27,19.45,1.82,11.84,0.99,2.65,4,61,3.48,0,84.93
NIGERIA,909,16596,63,85.7,0.5408023102310231,287,80,0.0,0.06738814235578271,0.33,31.57,6,0.0,0.04587990517378866,18.257425742574256,4.29,1.98,3,0.07779763371949718,38.063764136413646,0.0,Country/Region,58,18,0.04614913857722061,0,0.6808305373898116,79,n/a,11,0.0,7,8.69,n/a,829,16,166,13,44,167,829,216,8.8,280,0.66,20.02,0.33,20.14,6.38,26.06,1.21,33.78,0.77,1.76,3,39,1.43,0,91.2
BELARUS,1343,15643,64,67.98,0.41998912881608336,473,77,0.0,0.0995624589480926,0.15,35.22,2,0.0,0.04324532156143505,11.647803425167535,4.39,1.12,1,0.11494193848766193,29.15346842889054,0.0,Country/Region,24,15,0.04349909464711148,0,0.43435369132436974,98,n/a,39,0.0,0,7.3,n/a,967,13,227,50,260,183,1266,207,5.73,350,0.15,23.47,0.07,18.92,1.79,21.41,2.9,36.19,0.0,0.97,2,59,3.72,0,94.27
BANGLADESH,494,15373,65,76.32,0.9536985829959514,246,59,0.0,0.03662237879401172,1.21,49.8,11,0.0,0.042498902279865816,31.119433198380566,8.7,2.43,2,0.0422794621093857,41.515115384615385,0.0,Country/Region,32,12,0.042748295212558,0,1.1604626373100315,26,n/a,5,0.0,0,5.26,n/a,407,16,139,14,52,72,435,98,11.94,98,2.23,34.15,0.4,17.69,6.48,24.08,1.01,24.08,0.0,3.24,6,43,2.83,0,88.06
PAKISTAN,705,14747,66,80.85,0.6712425531914894,252,68,0.0,0.05226473086999649,0.43,35.74,9,0.0,0.04076831535296827,20.9177304964539,6.38,0.71,1,0.06033809875934598,39.14708808510638,0.0,Country/Region,32,5,0.041007552819852515,0,0.7800349236347461,82,n/a,24,0.0,1,11.63,n/a,605,16,164,26,57,136,637,138,9.65,167,1.28,27.11,0.14,22.48,4.54,22.81,3.4,27.6,0.14,2.27,3,45,3.69,0,90.35
CUBA,732,14403,67,81.97,0.6257259562841531,337,86,0.0,0.05426635886076231,0.68,46.04,20,0.0,0.03981732189793192,19.67622950819672,5.74,0.41,2,0.06264891956289541,37.49452240437159,0.0,Country/Region,24,3,0.04005097872545845,0,0.7337385948465048,30,n/a,36,0.0,4,4.1,n/a,608,23,150,40,421,151,646,120,11.75,187,2.73,24.67,0.27,24.84,3.28,19.74,4.92,30.76,0.55,3.14,5,42,5.46,0,88.25
VIETNAM,403,14257,68,82.63,0.9763598014888338,267,65,0.0,0.029876151121430616,0.74,66.25,5,0.0,0.039413702582713,35.37717121588089,13.9,0.99,1,0.03449114014186728,45.19990198511166,0.0,Country/Region,43,4,0.039644990883070275,0,1.3192362839014078,12,n/a,14,0.0,0,2.98,n/a,329,17,141,16,113,89,338,66,16.13,33,1.24,42.86,0.25,27.05,10.67,20.06,3.47,10.03,0.0,4.22,3,56,3.97,0,83.87
LITHUANIA,709,13927,69,71.37,0.6246795486600847,288,69,0.0,0.05256126835010994,0.14,40.62,6,0.0,0.03850141234968394,19.643159379407617,7.62,2.26,6,0.060680442582094055,37.50100253878703,0.0,Country/Region,35,16,0.038727347129727134,0,0.7325053895812887,24,n/a,21,0.0,2,3.39,n/a,522,16,184,22,219,178,640,92,9.73,68,0.85,35.25,0.85,34.1,4.94,17.62,2.96,13.03,0.28,2.26,1,54,3.1,0,90.27
URUGUAY,391,12980,70,85.93,0.9365890025575447,227,82,0.0,0.028986538681090246,0.51,58.06,14,0.0,0.03588341583247631,33.19693094629156,9.46,0.51,5,0.033464108673623094,48.97808363171356,0.0,Country/Region,36,2,0.03609398763149696,0,1.2379337949682598,14,n/a,36,0.0,0,3.58,n/a,337,25,162,27,180,101,309,35,20.97,39,3.58,48.07,1.28,29.97,9.21,10.39,9.21,11.57,0.0,6.39,2,37,6.91,0,79.03
JORDAN,566,12189,71,87.1,0.6856219081272085,184,36,0.0,0.04196005343605392,0.88,32.51,3,0.0,0.033696683789064236,21.535335689045937,5.48,0.53,2,0.04844165091885082,45.01508392226149,0.0,Country/Region,27,3,0.03389442336211991,0,0.8030657978168961,49,n/a,6,0.0,4,8.66,n/a,475,6,98,4,56,128,530,123,6.36,126,0.53,20.63,0.35,26.95,4.77,25.89,1.06,26.53,0.71,1.06,5,31,0.71,0,93.64
KUWAIT,609,12026,72,81.94,0.6098169129720854,193,81,0.0,0.04514783134727356,0.16,31.69,2,0.0,0.03324606770426503,19.74712643678161,5.91,0.49,0,0.05212184701339249,39.99342561576355,0.0,Country/Region,67,3,0.03344116296274133,0,0.7363823845388918,53,n/a,4,0.0,0,8.7,n/a,543,10,143,12,194,130,528,124,13.3,146,0.33,26.34,0.0,23.94,11.0,22.84,0.66,26.89,0.0,1.64,1,36,1.97,0,86.7
TUNISIA,719,10823,73,75.94,0.4965554937413074,293,78,0.0,0.05330261205039358,0.0,40.75,3,0.0,0.02992035512749546,15.052851182197497,4.73,0.14,4,0.06153630213896421,35.811949095966625,0.0,Country/Region,46,1,0.030095934371008597,0,0.5613299982223767,83,n/a,36,0.0,1,11.54,n/a,566,13,137,25,62,154,641,146,10.85,129,0.42,24.2,0.56,27.21,6.4,25.8,5.01,22.79,0.14,1.81,0,34,3.48,0,89.15
PERU,261,10819,74,79.31,1.1613325670498085,180,57,0.0,0.019349070577402955,1.53,68.97,9,0.0,0.02990929706406481,41.452107279693486,13.41,2.3,3,0.022337934434311067,48.39699923371647,0.0,Country/Region,27,6,0.030084811416422618,0,1.5457743535751398,5,n/a,16,0.0,0,1.92,n/a,231,20,128,18,98,42,204,33,21.84,28,3.45,55.41,1.15,18.18,10.34,14.29,6.13,12.12,0.0,7.66,4,35,6.9,0,78.16
PANAMA,109,10338,75,92.66,1.782048623853211,85,17,0.0,0.008080646333091655,6.42,77.98,0,0.0,0.02857956493652851,94.8440366972477,23.85,1.83,0,0.009328869169884698,61.7642633027523,0.0,Country/Region,11,2,0.028747276127458827,0,3.536791954313136,0,n/a,0,0.0,0,0.0,n/a,97,7,56,6,9,22,92,9,15.6,10,0.0,57.73,0.0,22.68,10.09,9.28,0.0,10.31,0.0,6.42,7,26,5.5,0,84.4
LEBANON,436,9836,76,73.85,0.9122316513761468,155,58,0.0,0.03232258533236662,0.92,35.55,0,0.0,0.027191777975981275,22.559633027522935,8.94,0.46,7,0.037315476679538793,39.99537912844037,0.0,Country/Region,36,2,0.027351345326918654,0,0.8412624700769976,27,n/a,13,0.0,0,6.19,n/a,357,16,133,15,89,107,378,73,13.3,44,0.0,37.25,1.61,29.97,8.26,20.45,2.98,12.32,0.0,3.67,4,39,3.44,0,86.7
ALGERIA,511,9647,77,79.84,0.6291168297455969,270,43,0.0,0.03788266308449391,0.59,52.84,4,0.0,0.026669284478882817,18.87866927592955,5.28,0.2,0,0.043734423356064964,42.358194716242664,0.0,Country/Region,26,1,0.026825785722731213,0,0.7039970875172992,30,n/a,21,0.0,0,5.87,n/a,383,6,103,13,42,133,468,73,8.41,74,0.78,26.89,0.0,34.73,5.09,19.06,4.11,19.32,0.0,1.17,3,27,2.54,0,91.59
UGANDA,194,9589,78,86.6,1.186760824742268,119,24,0.0,0.014382067785502578,2.06,61.34,2,0.0,0.026508942559138313,49.42783505154639,11.34,0.0,2,0.01660367540328102,50.30557525773196,0.0,Country/Region,11,0,0.02666450288123454,0,1.8431941049436489,13,n/a,1,0.0,2,6.7,n/a,185,11,85,9,13,38,170,31,12.37,31,1.03,45.95,1.03,20.54,5.67,16.76,0.52,16.76,1.03,5.67,4,22,4.64,0,87.63
ARMENIA,410,9563,79,69.51,0.7041839024390244,164,73,0.0,0.030395091711629164,0.98,40.0,0,0.0,0.026437065146839057,23.32439024390244,6.59,0.0,1,0.03509024183167639,33.09623463414634,0.0,Country/Region,10,0,0.026592203676425688,0,0.869780732943939,32,n/a,60,0.0,5,7.8,n/a,306,16,108,62,28,75,337,57,17.8,66,0.0,35.29,0.24,24.51,2.44,18.63,14.63,21.57,1.22,3.9,4,27,15.12,0,82.2
COSTA RICA,257,8837,80,85.99,0.9854626459143969,153,48,0.0,0.0190525330972895,1.17,59.53,3,0.0,0.024430026634175126,34.3852140077821,11.67,1.17,6,0.021995590611563004,47.73453579766537,0.0,Country/Region,22,3,0.02457338741907077,0,1.2822455948207043,3,n/a,13,0.0,3,1.17,n/a,226,14,77,17,34,78,209,26,18.68,45,1.17,34.07,2.33,34.51,8.56,11.5,5.06,19.91,1.17,5.45,3,30,6.61,0,81.32
TANZANIA,263,8803,81,90.87,0.9825916349809887,175,55,0.0,0.01949733931745968,1.52,66.54,2,0.0,0.02433603309501456,33.47148288973384,9.89,1.52,1,0.0225091063456851,52.37129543726236,0.0,Country/Region,39,4,0.024478842305089968,0,1.2481720043319897,4,n/a,7,0.0,3,1.52,n/a,244,15,99,13,27,53,208,48,20.91,44,0.76,40.57,0.38,21.72,14.83,19.67,2.66,18.03,1.14,5.7,4,26,4.94,0,79.09
LATVIA,509,8100,82,65.03,0.6723601178781926,198,35,0.0,0.037734394344437185,0.39,38.9,2,0.0,0.022392578447076896,15.913555992141454,5.11,1.57,0,0.043563251444690934,33.60192632612967,0.0,Country/Region,18,8,0.02252398303660442,0,0.5934262053520416,25,n/a,9,0.0,2,4.91,n/a,346,10,113,15,75,75,474,66,6.88,92,0.39,32.66,0.0,21.68,3.54,19.08,1.77,26.59,0.39,1.96,2,26,2.95,0,93.12
SRI LANKA,237,7879,83,78.48,1.0319759493670886,112,25,0.0,0.017569845696722222,2.53,47.26,4,0.0,0.021781620442533192,33.244725738396625,11.39,0.84,1,0.020283871497822695,44.837805907173,0.0,Country/Region,15,2,0.021909439795729162,0,1.2397160919060721,22,n/a,3,0.0,3,9.28,n/a,196,5,86,5,49,46,212,43,10.55,21,1.69,43.88,0.42,23.47,6.33,21.94,1.27,10.71,1.27,2.11,6,27,2.11,0,89.45
CYPRUS,257,7855,84,78.6,1.0738848249027237,142,64,0.0,0.0190525330972895,1.17,55.25,0,0.0,0.021715272061949262,30.56420233463035,9.73,1.56,0,0.021995590611563004,48.548136186770435,0.0,Country/Region,18,4,0.021842702068213298,0,1.1397577398796688,0,n/a,47,0.0,1,0.0,n/a,196,35,82,46,77,51,193,39,24.9,24,0.0,41.84,0.0,26.02,7.0,19.9,18.29,12.24,0.39,13.62,3,25,17.9,0,75.1
UNITED ARAB EMIRATES,421,7261,85,76.72,0.5675073634204276,192,31,0.0,0.031210569781941165,0.0,45.61,1,0.0,0.020073149642496957,17.247030878859857,6.89,0.48,0,0.03603168734423356,38.42489477434679,0.0,Country/Region,26,2,0.02019094331219564,0,0.6431522968898676,13,n/a,2,0.0,0,3.09,n/a,350,5,90,4,45,102,390,92,7.36,66,0.24,25.71,0.0,29.14,6.18,26.29,0.48,18.86,0.0,1.19,0,29,0.95,0,92.64
REPUBLIC OF GEORGIA,347,6807,86,67.15,0.588506628242075,140,67,0.0,0.025724626399842243,0.29,40.35,4,0.0,0.018818059443117582,19.61671469740634,6.92,0.29,0,0.02969832662339441,31.073423054755043,0.0,Country/Region,17,1,0.018928487966687196,0,0.7315192512662881,13,n/a,45,0.0,1,3.75,n/a,276,9,87,46,22,76,280,38,19.31,75,1.15,31.52,0.0,27.54,4.9,13.77,12.97,27.17,0.29,2.59,1,24,13.26,0,80.69
ZIMBABWE,277,6731,87,84.84,0.7659180505415163,153,35,0.0,0.020535220497856777,0.0,55.23,5,0.0,0.018607956237935132,24.299638989169676,7.58,0.0,2,0.023707309725303317,44.714799277978344,0.0,Country/Region,24,0,0.018717151829553625,0,0.9061483532585985,9,n/a,3,0.0,1,3.25,n/a,245,12,99,4,43,66,242,48,12.64,32,1.81,40.41,0.72,26.94,8.66,19.59,1.08,13.06,0.36,4.33,0,21,1.44,0,87.36
ETHIOPIA,246,6610,88,87.8,0.8336686991869919,134,27,0.0,0.0182370550269775,0.41,54.47,0,0.0,0.01827344981915781,26.869918699186993,8.54,2.03,0,0.021054145099005835,46.55283739837399,0.0,Country/Region,19,5,0.018380682453327805,0,1.0019956507301468,18,n/a,1,0.0,0,7.32,n/a,241,10,66,8,36,61,219,45,10.98,69,0.0,27.39,0.0,25.31,7.72,18.67,0.41,28.63,0.0,4.07,1,21,3.25,0,89.02
CAMEROON,223,6395,89,87.89,0.7809726457399103,146,27,0.0,0.01653196451632513,0.45,65.47,0,0.0,0.01767907890976009,28.67713004484305,9.42,5.38,0,0.019085668118204478,48.344731838565025,0.0,Country/Region,18,12,0.017782823644331515,0,1.0693876636561976,10,n/a,4,0.0,0,4.48,n/a,194,8,81,9,24,41,196,46,12.11,26,0.0,41.75,0.0,21.13,8.07,23.71,1.79,13.4,0.0,3.59,1,21,4.04,0,87.89
SENEGAL,208,5918,90,91.83,0.8339778846153846,141,31,0.0,0.015419948965899672,0.48,67.79,0,0.0,0.01636040484565445,28.451923076923077,8.65,1.44,1,0.017801878782899242,46.9653326923077,0.0,Country/Region,21,3,0.0164564113099537,0,1.0609895585150473,10,n/a,6,0.0,0,4.81,n/a,187,9,82,9,46,36,177,39,14.9,30,0.0,43.85,0.48,19.25,10.1,20.86,2.88,16.04,0.0,4.33,1,18,4.33,0,85.1
COTE IVOIRE,164,5917,91,91.46,0.9055682926829269,122,32,0.0,0.012158036684651666,0.61,74.39,5,0.0,0.01635764032979679,36.079268292682926,10.37,1.22,0,0.014036096732670554,52.74742195121951,0.0,Country/Region,15,2,0.016453630571307203,0,1.3454179119599725,0,n/a,7,0.0,7,0.0,n/a,145,11,63,12,10,30,132,20,19.51,32,3.05,43.45,0.0,20.69,9.15,13.79,4.27,22.07,4.27,6.71,1,17,7.32,0,80.49
MALAWI,131,5740,92,91.6,0.978397709923664,94,18,0.0,0.009711602473715658,0.76,71.76,0,0.0,0.015868321022990295,43.81679389312977,11.45,0.0,1,0.011211760194999042,52.07196717557252,0.0,Country/Region,13,0,0.0159614398308777,0,1.633954959126233,2,n/a,0,0.0,2,1.53,n/a,127,4,60,4,15,30,113,13,13.74,24,0.0,47.24,0.76,23.62,9.92,10.24,0.0,18.9,1.53,3.05,1,15,3.05,0,86.26
GHANA,210,5646,93,89.52,0.742052380952381,131,32,0.0,0.015568217705956401,0.48,62.38,0,0.0,0.015608456532369894,26.885714285714286,6.19,1.43,0,0.017973050694273275,47.5513680952381,0.0,Country/Region,24,3,0.015700050398107228,0,1.0025846777822294,14,n/a,3,0.0,0,6.67,n/a,191,11,65,8,26,51,178,47,15.24,28,0.0,34.03,0.0,26.7,11.43,24.61,1.43,14.66,0.0,5.24,1,13,3.81,0,84.76
ECUADOR,142,5185,94,89.44,1.7334077464788733,93,37,0.0,0.010527080544027661,2.82,65.49,2,0.0,0.014334014721986877,36.514084507042256,11.97,1.41,3,0.012153205707556214,50.633250000000004,0.0,Country/Region,9,2,0.014418129882073322,0,1.3616324736984187,2,n/a,20,0.0,0,1.41,n/a,130,22,54,23,9,32,105,17,26.06,27,1.41,41.54,2.11,24.62,6.34,13.08,14.08,20.77,0.0,15.49,4,17,16.2,0,73.94
NEPAL,179,4688,95,83.24,0.7602754189944134,102,34,0.0,0.013270052235077122,0.56,56.98,0,0.0,0.012960050340727962,26.189944134078214,11.17,0.0,1,0.015319886067975788,47.57469888268157,0.0,Country/Region,22,0,0.01303610277476562,0,0.9766389846205938,1,n/a,6,0.0,1,0.56,n/a,130,8,46,11,26,45,145,18,18.99,21,0.0,35.38,0.56,34.62,12.29,13.85,3.35,16.15,0.56,4.47,1,20,6.15,0,81.01
